code,Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
,CA NUOC,12626,902,803,31,10851
,Dong bang song Hong,2758,184,117,8,2439
1,Ha Noi,281,19,26,..,232
,Ha Tay,356,16,17,..,322
26,Vinh Phuc,177,9,13,1,154
27,Bac Ninh,146,11,7,1,126
22,Quang Ninh,215,19,8,1,186
30,Hai Duong,287,17,5,1,263
31,Hai Phuong,259,22,16,1,220
33,Hung Yen,177,16,..,..,161
34,Thai Binh,303,16,..,1,285
35,Ha Nam,138,12,9,..,116
36,Nam Dinh,251,17,4,1,229
37,Ninh Binh,168,10,12,1,145
,Trung du va mien nui phia Bac,2945,179,258,6,2496
2,Ha Giang,209,13,21,..,175
4,Cao Bang,233,16,23,..,194
6,Bac Kan,140,7,11,..,122
8,Tuyen Quang,166,12,13,1,140
10,Lao Cai,212,12,36,..,164
15,Yen Bai,211,12,20,..,178
19,Thai Nguyen,212,15,13,1,180
20,Lang Son,265,14,24,1,226
24,Bac Giang,268,15,24,1,228
25,Phu Tho,296,17,4,1,274
11,Dien Bien,136,10,19,..,106
12,Lai Chau,108,7,7,..,94
14,Son La,237,15,19,1,201
17,Hoa Binh,252,14,24,..,214
,Bac Trung Bo va Duyen hai mien Trung,3284,210,186,10,2870
38,Thanh Hoa,694,35,23,1,634
40,Nghe An,544,24,43,1,476
42,Ha Tinh,300,17,20,1,262
44,Quang Binh,173,8,6,..,159
45,Quang Tri,158,10,8,1,139
46,Thua Thien Hue,178,12,14,1,150
48,Da Nang,69,12,..,1,56
49,Quang Nam,272,22,13,..,236
51,Quang Ngai,202,16,8,..,178
52,Binh Dinh,182,16,6,1,159
54,Phu Yen,132,11,13,1,106
56,Khanh Hoa,166,10,17,1,137
58,Ninh Thuan,74,4,5,1,62
60,Binh Thuan,140,13,10,..,116
,Tay Nguyen,809,64,48,3,689
62,Kon Tum,116,9,9,1,96
64,Gia Lai,243,17,16,1,209
66,Dak Lak,195,17,1,..,175
67,Dak Nong,71,7,..,..,64
68,Lam Dong,184,14,22,1,145
,Dong Nam Bo,1034,110,65,2,849
70,Binh Phuoc,114,9,5,..,99
72,Tay Ninh,108,12,4,..,92
74,Binh Duong,107,8,8,1,89
75,Dong Nai,201,17,13,..,171
77,Ba Ria - Vung Tau,92,10,6,..,76
79,Ho Chi Minh,412,54,29,1,322
,Dong bang song Cuu Long,1796,155,129,2,1508
80,Long An,212,16,6,..,190
82,Tien Giang,201,16,16,..,169
83,Ben Tre,178,10,8,..,160
84,Tra Vinh,111,9,14,..,88
86,Vinh Long,116,9,6,..,101
87,Dong Thap,168,12,13,1,142
89,An Giang,180,15,11,..,154
91,Kien Giang,154,15,16,..,123
92,Can Tho,83,15,8,..,60
93,Hau Giang,77,8,8,..,61
94,Soc Trang,128,11,12,..,105
95,Bac Lieu,71,7,2,..,61
96,Ca Mau,117,12,9,1,94
