code,Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
,CA NUOC,12372,822,855,34,10613
,Dong bang song Hong,2756,173,128,9,2435
1,Ha Noi,280,18,25,..,232
,Ha Tay,360,16,19,..,324
26,Vinh Phuc,175,9,13,1,152
27,Bac Ninh,146,11,7,1,126
22,Quang Ninh,212,18,8,1,184
30,Hai Duong,288,17,6,1,263
31,Hai Phuong,266,22,25,1,218
33,Hung Yen,175,13,..,1,161
34,Thai Binh,300,13,..,1,285
35,Ha Nam,136,10,9,..,116
36,Nam Dinh,250,16,4,1,229
37,Ninh Binh,168,10,12,1,145
,Trung du va mien nui phia Bac,2923,171,268,7,2470
2,Ha Giang,207,11,21,..,175
4,Cao Bang,225,16,20,..,189
6,Bac Kan,140,6,12,..,122
8,Tuyen Quang,171,11,14,1,145
10,Lao Cai,213,12,35,1,165
15,Yen Bai,216,11,26,..,178
19,Thai Nguyen,207,15,13,1,175
20,Lang Son,264,13,24,1,226
24,Bac Giang,268,15,22,1,229
25,Phu Tho,299,18,7,1,273
11,Dien Bien,115,8,18,..,88
12,Lai Chau,109,8,11,..,90
14,Son La,234,14,17,1,201
17,Hoa Binh,255,13,28,..,214
,Bac Trung Bo va Duyen hai mien Trung,3219,194,216,10,2790
38,Thanh Hoa,686,32,29,1,623
40,Nghe An,537,24,43,1,469
42,Ha Tinh,299,14,23,1,261
44,Quang Binh,172,8,7,..,157
45,Quang Tri,159,9,10,1,138
46,Thua Thien Hue,183,12,16,1,153
48,Da Nang,59,11,..,1,47
49,Quang Nam,259,20,18,..,221
51,Quang Ngai,205,14,12,..,178
52,Binh Dinh,180,16,8,1,155
54,Phu Yen,117,10,17,1,87
56,Khanh Hoa,163,10,16,1,135
58,Ninh Thuan,72,4,4,1,62
60,Binh Thuan,128,10,13,..,104
,Tay Nguyen,737,58,41,3,629
62,Kon Tum,114,8,9,1,95
64,Gia Lai,204,16,15,1,172
66,Dak Lak,182,15,..,..,165
67,Dak Nong,59,7,..,..,52
68,Lam Dong,178,12,17,1,145
,Dong Nam Bo,995,87,62,3,835
70,Binh Phuoc,104,7,5,..,91
72,Tay Ninh,109,12,4,1,92
74,Binh Duong,105,9,5,1,89
75,Dong Nai,201,16,13,..,172
77,Ba Ria - Vung Tau,87,7,6,..,74
79,Ho Chi Minh,389,36,29,1,317
,Dong bang song Cuu Long,1742,139,140,2,1454
80,Long An,201,16,6,..,179
82,Tien Giang,199,12,17,..,169
83,Ben Tre,179,11,8,..,160
84,Tra Vinh,103,9,14,..,80
86,Vinh Long,116,9,6,..,101
87,Dong Thap,166,13,9,1,143
89,An Giang,170,14,12,..,143
91,Kien Giang,152,13,16,..,123
92,Can Tho,84,9,13,..,61
93,Hau Giang,71,7,9,..,54
94,Soc Trang,128,9,14,..,104
95,Bac Lieu,71,7,2,..,61
96,Ca Mau,102,10,14,1,76
