"Dien tich, dan so va mat do dan so phan theo dia phuong chia theo Dia phuong, Nam va Chi tieu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ð?a phuong,2011 Di?n tích(Km2),2011 Dân s? trung bình (Nghìn ngu?i),2011 M?t ?? dân s? (Ngu?i/km2),2012 Di?n tích(Km2),2012 Dân s? trung bình (Nghìn ngu?i),2012 M?t ?? dân s? (Ngu?i/km2),2013 Di?n tích(Km2),2013 Dân s? trung bình (Nghìn ngu?i),2013 M?t ?? dân s? (Ngu?i/km2),2014 Di?n tích(Km2),2014 Dân s? trung bình (Nghìn ngu?i),2014 M?t ?? dân s? (Ngu?i/km2),2015 Di?n tích(Km2),2015 Dân s? trung bình (Nghìn ngu?i),2015 M?t ?? dân s? (Ngu?i/km2),2016 Di?n tích(Km2),2016 Dân s? trung bình (Nghìn ngu?i),2016 M?t ?? dân s? (Ngu?i/km2),2017 Di?n tích(Km2),2017 Dân s? trung bình (Nghìn ngu?i),2017 M?t ?? dân s? (Ngu?i/km2),2018 Di?n tích(Km2),2018 Dân s? trung bình (Nghìn ngu?i),2018 M?t ?? dân s? (Ngu?i/km2),2019 (*) Di?n tích(Km2),2019 (*) Dân s? trung bình (Nghìn ngu?i),2019 (*) M?t ?? dân s? (Ngu?i/km2),2020 (*) Di?n tích(Km2),2020 (*) Dân s? trung bình (Nghìn ngu?i),2020 (*) M?t ?? dân s? (Ngu?i/km2),2021 (*) Di?n tích(Km2),2021 (*) Dân s? trung bình (Nghìn ngu?i),2021 (*) M?t ?? dân s? (Ngu?i/km2),2022 (*) Di?n tích(Km2),2022 (*) Dân s? trung bình (Nghìn ngu?i),2022 (*) M?t ?? dân s? (Ngu?i/km2)
Trung du và mi?n núi phía B?c,95264.4,11311.41,118.74,95272.3,11441.84,120.1,95274.7,11574.49,121.49,95266.8,11739.21,123.22,95266.8,11907,124.99,95222.3,12061.1,126.66,95222.1,12230.8,128.44,95222.2,12404.9,130.27,95221.9,12569.3,132,95184.1,12725.78,134,95184.14,12925.07,136,95184.16,13023.19,137
Hà Giang,7914.9,749.54,94.7,7914.9,763.5,96.46,7914.9,778.96,98.42,7914.9,792.47,100.12,7914.9,806.7,101.92,7929.2,820.4,103.47,7929.5,833.7,105.14,7929.5,846.5,106.75,7929.5,858.1,108,7927.6,870.24,110,7927.55,887.09,112,7927.55,892.72,113
Cao B?ng,6707.9,514.02,76.63,6707.9,515.88,76.91,6707.9,517.85,77.2,6703.4,519.87,77.55,6703.4,522,77.87,6700.2,524.2,78.24,6700.3,526.4,78.56,6700.3,528.7,78.91,6700.3,530.9,79,6700.4,533.09,80,6700.39,542.22,81,6700.39,543.05,81
B?c K?n,4859.4,298.69,61.47,4859.4,300.8,61.9,4859.4,301.73,62.09,4859.4,302.94,62.34,4859.4,305.6,62.89,4860,307.7,63.31,4860,309.9,63.77,4860,312,64.2,4860,314.4,65,4860,316.46,65,4859.96,323.71,67,4859.96,324.35,67
Tuyên Quang,5867.3,733.6,125.03,5867.3,738.53,125.87,5867.3,743.37,126.7,5867.3,749.59,127.76,5867.3,756.2,128.88,5867.9,763.4,130.1,5867.9,770.5,131.31,5867.9,778.3,132.64,5867.9,786.3,134,5867.9,792.9,135,5867.95,801.67,137,5867.95,805.78,137
Lào Cai,6383.9,638.15,99.96,6383.9,649.51,101.74,6383.9,661,103.54,6383.9,672.64,105.36,6383.9,684.5,107.22,6364,696.5,109.44,6364,708.6,111.35,6364,720.8,113.26,6364,733.3,115,6364.2,746.36,117,6364.25,761.89,120,6364.25,770.59,121
Yên Bái,6886.3,758.65,110.17,6886.3,765.69,111.19,6886.3,774.58,112.48,6886.3,783.53,113.78,6886.3,793.1,115.17,6887.6,800.3,116.19,6887.7,807.3,117.21,6887.7,814.6,118.27,6887.5,823,119,6892.7,831.59,121,6892.67,842.67,122,6892.67,847.25,123
Thái Nguyên,3531.7,1139.44,322.63,3534.7,1149.08,325.09,3536.4,1155.99,326.88,3533.2,1198.17,339.12,3533.2,1230.8,348.35,3526.7,1242.8,352.4,3526.6,1256.1,356.18,3526.6,1273.6,361.14,3526.6,1290.9,366,3522,1307.87,371,3521.96,1323.15,376,3521.97,1335.99,379
L?ng Son,8320.8,740.91,89.04,8320.8,745.13,89.55,8320.8,748.94,90.01,8320.8,752.59,90.45,8320.8,757.8,91.07,8310.2,763.4,91.86,8310.1,768.7,92.5,8310.1,775.9,93.37,8310.1,782.8,94,8310.2,788.71,95,8310.18,796.94,96,8310.18,802.09,97
B?c Giang,3844,1586.02,412.6,3848.9,1607.77,417.72,3849.7,1630.65,423.58,3849.5,1646.86,427.81,3849.5,1667,433.04,3895.5,1696.9,435.61,3895.5,1736.8,445.85,3895.6,1777.5,456.28,3895.6,1810.4,465,3895.9,1841.62,473,3895.89,1875.24,481,3895.89,1890.93,485
