code,name,area,population,density
1,Ha Noi,3359.84,8246.54,2454
26,Vinh Phuc,1236,1171.2,948
27,Bac Ninh,822.71,1419.13,1725
22,Quang Ninh,6206.9,1337.61,216
30,Hai Duong,1668.39,1916.77,1149
31,Hai Phong,1526.51,2053.49,1345
33,Hung Yen,930.2,1269.09,1364
34,Thai Binh,1584.6,1870.24,1180
35,Ha Nam,861.93,861.83,1000
36,Nam Dinh,1668.83,1780.33,1067
37,Ninh Binh,1387.1,993.92,717
2,Ha Giang,7927.6,870.24,110
4,Cao Bang,6700.4,533.09,80
6,Bac Kan,4860,316.46,65
8,Tuyen Quang,5867.9,792.9,135
10,Lao Cai,6364.2,746.36,117
15,Yen Bai,6892.7,831.59,121
19,Thai Nguyen,3522,1307.87,371
20,Lang Son,8310.2,788.71,95
24,Bac Giang,3895.9,1841.62,473
25,Phu Tho,3534.6,1481.88,419
11,Dien Bien,9539.9,613.48,64
12,Lai Chau,9068.7,469.81,52
14,Son La,14109.8,1270.56,90
17,Hoa Binh,4590.3,861.22,188
38,Thanh Hoa,11114.7,3664.94,330
40,Nghe An,16486.5,3365.2,204
42,Ha Tinh,5994.5,1296.62,216
44,Quang Binh,7998.8,901.98,113
45,Quang Tri,4701.2,637.39,136
46,Thua Thien Hue,4947.1,1133.59,229
48,Da Nang,1284.7,1169.48,910
49,Quang Nam,10574.9,1505.04,142
51,Quang Ngai,5155.2,1233.4,239
52,Binh Dinh,6066.4,1487.9,245
54,Phu Yen,5026,874.3,174
56,Khanh Hoa,5199.6,1240.44,239
58,Ninh Thuan,3355.3,593.64,177
60,Binh Thuan,7942.5,1239.26,156
62,Kon Tum,9674.2,555.64,57
64,Gia Lai,15510.1,1541.83,99
66,Dak Lak,13070.4,1886.94,144
67,Dak Nong,6509.3,637.91,98
68,Lam Dong,9781.2,1309.79,134
70,Binh Phuoc,6873.6,1011.08,147
72,Tay Ninh,4041.7,1178.33,292
74,Binh Duong,2694.6,2580.55,958
75,Dong Nai,5863.6,3177.4,542
77,Ba Ria - Vung Tau,1982.6,1167.94,589
79,Ho Chi Minh,2095.4,9227.6,4404
80,Long An,4494.8,1713.66,381
82,Tien Giang,2556.4,1772.54,693
83,Ben Tre,2379.7,1292.4,543
84,Tra Vinh,2390.8,1009.94,422
86,Vinh Long,1525.7,1022.97,670
87,Dong Thap,3382.3,1600.01,473
89,An Giang,3536.8,1904.53,538
91,Kien Giang,6352,1728.87,272
92,Can Tho,1440.4,1240.73,861
93,Hau Giang,1622.2,729.78,450
94,Soc Trang,3298.2,1195.74,363
95,Bac Lieu,2667.9,913.48,342
96,Ca Mau,5274.5,1193.89,226
