Name,area,population,density
CA NUOC,330966.9,92228.6,278.66
Dong bang song Hong,21060,21368.4,1014.64
Ha Noi,3324.5,7433.6,2236.01
Vinh Phuc,1237.5,1090.4,881.13
Bac Ninh,822.7,1218.5,1481.1
Quang Ninh,6102.3,1241.6,203.46
Hai Duong,1656,1812.8,1094.69
Hai Phuong,1527.4,1969.5,1289.45
Hung Yen,926,1202,1298.06
Thai Binh,1570.8,1830.3,1165.2
Ha Nam,862,824.3,956.26
Nam Dinh,1653.2,1796.9,1086.92
Ninh Binh,1377.6,948.5,688.52
Trung du va mien nui phia Bac,95266.8,11907,124.99
Ha Giang,7914.9,806.7,101.92
Cao Bang,6703.4,522,77.87
Bac Kan,4859.4,305.6,62.89
Tuyen Quang,5867.3,756.2,128.88
Lao Cai,6383.9,684.5,107.22
Yen Bai,6886.3,793.1,115.17
Thai Nguyen,3533.2,1230.8,348.35
Lang Son,8320.8,757.8,91.07
Bac Giang,3849.5,1667,433.04
Phu Tho,3533.3,1392.3,394.05
Dien Bien,9562.9,557.1,58.26
Lai Chau,9068.8,427.9,47.18
Son La,14174.4,1177.4,83.07
Hoa Binh,4608.7,828.6,179.79
Bac Trung Bo va Duyen hai mien Trung,95832.4,19653.7,205.08
Thanh Hoa,11129.5,3537,317.8
Nghe An,16490,3160.6,191.67
Ha Tinh,5997.8,1261.3,210.29
Quang Binh,8065.3,875.6,108.56
Quang Tri,4739.8,617.9,130.36
Thua Thien Hue,5033.2,1114.7,221.47
Da Nang,1285.4,1056.3,821.77
Quang Nam,10438.4,1468.2,140.65
Quang Ngai,5152.7,1226.2,237.97
Binh Dinh,6050.6,1487.6,245.86
Phu Yen,5060.6,866.2,171.17
Khanh Hoa,5217.7,1198.4,229.68
Ninh Thuan,3358.3,578.3,172.2
Binh Thuan,7813.1,1205.4,154.28
Tay Nguyen,54641,5584.3,102.2
Kon Tum,9689.6,495.9,51.18
Gia Lai,15536.9,1426.4,91.81
Dak Lak,13125.4,1820.1,138.67
Dak Nong,6515.6,580.5,89.09
Lam Dong,9773.5,1261.4,129.06
Dong Nam Bo,23590.7,16448.5,697.25
Binh Phuoc,6871.5,947.2,137.84
Tay Ninh,4032.6,1129.9,280.19
Binh Duong,2694.4,2069.2,767.96
Dong Nai,5907.2,2890,489.23
Ba Ria - Vung Tau,1989.5,1104.3,555.06
Ho Chi Minh,2095.5,8307.9,3964.64
Dong bang song Cuu Long,40576,17266.7,425.54
Long An,4495,1626.2,361.78
Tien Giang,2509.3,1728.7,688.92
Ben Tre,2359.8,1275.8,540.64
Tra Vinh,2341.2,1006.9,430.08
Vinh Long,1520.2,1023.2,673.07
Dong Thap,3378.8,1625.6,481.12
An Giang,3536.7,2000.9,565.75
Kien Giang,6348.5,1705.4,268.63
Can Tho,1408.9,1208.5,857.76
Hau Giang,1602.4,742.4,463.31
Soc Trang,3311.6,1236.3,373.32
Bac Lieu,2468.7,887.3,359.42
Ca Mau,5294.9,1199.5,226.54
