code,name,area,population,density
1,Ha Noi,3358.6,7914.5,2356.49
26,Vinh Phuc,1235.2,1138.4,921.63
27,Bac Ninh,822.7,1337.3,1625.5
22,Quang Ninh,6178.2,1303.9,211.05
30,Hai Duong,1668.2,1877.7,1125.58
31,Hai Phong,1561.8,2016.4,1291.07
33,Hung Yen,930.2,1242.4,1335.63
34,Thai Binh,1586.4,1854.1,1168.75
35,Ha Nam,861.9,847.1,982.83
36,Nam Dinh,1668.5,1784.2,1069.34
37,Ninh Binh,1386.8,974.7,702.84
2,Ha Giang,7929.5,846.5,106.75
4,Cao Bang,6700.3,528.7,78.91
6,Bac Kan,4860,312,64.2
8,Tuyen Quang,5867.9,778.3,132.64
10,Lao Cai,6364,720.8,113.26
15,Yen Bai,6887.7,814.6,118.27
19,Thai Nguyen,3526.6,1273.6,361.14
20,Lang Son,8310.1,775.9,93.37
24,Bac Giang,3895.6,1777.5,456.28
25,Phu Tho,3534.6,1449.6,410.12
11,Dien Bien,9541.2,590.5,61.89
12,Lai Chau,9068.8,453.4,50
14,Son La,14123.5,1233.1,87.31
17,Hoa Binh,4590.6,850.4,185.25
38,Thanh Hoa,11114.6,3631.3,326.71
40,Nghe An,16481.6,3291.4,199.7
42,Ha Tinh,5990.7,1280.5,213.75
44,Quang Binh,8000,891.1,111.39
45,Quang Tri,4621.7,629.7,136.25
46,Thua Thien Hue,4902.4,1125.4,229.56
48,Da Nang,1284.9,1114.4,867.3
49,Quang Nam,10574.7,1490.8,140.98
51,Quang Ngai,5155.8,1230.5,238.66
52,Binh Dinh,6066.2,1487.8,245.26
54,Phu Yen,5023.4,871.5,173.49
56,Khanh Hoa,5137.8,1224.5,238.33
58,Ninh Thuan,3355.3,588.9,175.51
60,Binh Thuan,7943.9,1227.3,154.5
62,Kon Tum,9674.2,532.4,55.03
64,Gia Lai,15511,1495.7,96.43
66,Dak Lak,13030.5,1861.5,142.86
67,Dak Nong,6509.3,615.4,94.54
68,Lam Dong,9783.3,1291.4,132
70,Binh Phuoc,6876.8,984.9,143.22
72,Tay Ninh,4041.3,1160.7,287.21
74,Binh Duong,2694.6,2345.2,870.33
75,Dong Nai,5863.6,3055.1,521.03
77,Ba Ria - Vung Tau,1981,1138.3,574.61
79,Ho Chi Minh,2061.4,8843.2,4289.9
80,Long An,4494.9,1678.9,373.51
82,Tien Giang,2510.6,1759.1,700.67
83,Ben Tre,2394.8,1286,537
84,Tra Vinh,2358.3,1008.8,427.77
86,Vinh Long,1525.7,1022.7,670.32
87,Dong Thap,3383.8,1606.1,474.64
89,An Giang,3536.7,1931,545.99
91,Kien Giang,6348.8,1718.1,270.62
92,Can Tho,1439,1227.7,853.16
93,Hau Giang,1621.7,734.9,453.17
94,Soc Trang,3311.9,1208.8,364.99
95,Bac Lieu,2669,903,338.33
96,Ca Mau,5221.2,1195.6,228.99
