Name,area,population,density
CA NUOC,330966.9,91203.76,275.57
Dong bang song Hong,21060,21080.59,1000.98
Ha Noi,3324.5,7285.53,2191.47
Vinh Phuc,1237.5,1076.82,870.16
Bac Ninh,822.7,1177.06,1430.73
Quang Ninh,6102.3,1227.67,201.18
Hai Duong,1656,1795.79,1084.41
Hai Phuong,1527.4,1950.71,1277.14
Hung Yen,926,1188.65,1283.64
Thai Binh,1570.8,1822.43,1160.19
Ha Nam,862,815.07,945.56
Nam Dinh,1653.2,1801.54,1089.73
Ninh Binh,1377.6,939.31,681.85
Trung du va mien nui phia Bac,95266.8,11739.21,123.22
Ha Giang,7914.9,792.47,100.12
Cao Bang,6703.4,519.87,77.55
Bac Kan,4859.4,302.94,62.34
Tuyen Quang,5867.3,749.59,127.76
Lao Cai,6383.9,672.64,105.36
Yen Bai,6886.3,783.53,113.78
Thai Nguyen,3533.2,1198.17,339.12
Lang Son,8320.8,752.59,90.45
Bac Giang,3849.5,1646.86,427.81
Phu Tho,3533.3,1373.67,388.78
Dien Bien,9562.9,546.06,57.1
Lai Chau,9068.8,421.46,46.47
Son La,14174.4,1159.74,81.82
Hoa Binh,4608.7,819.62,177.84
Bac Trung Bo va Duyen hai mien Trung,95832.4,19511.45,203.6
Thanh Hoa,11129.5,3507.09,315.12
Nghe An,16490,3116.33,188.98
Ha Tinh,5997.8,1255.25,209.29
Quang Binh,8065.3,870.49,107.93
Quang Tri,4739.8,614.37,129.62
Thua Thien Hue,5033.2,1111.58,220.85
Da Nang,1285.4,1033.93,804.37
Quang Nam,10438.4,1459.79,139.85
Quang Ngai,5152.7,1224.52,237.65
Binh Dinh,6050.6,1487.6,245.86
Phu Yen,5060.6,865.67,171.06
Khanh Hoa,5217.7,1192.15,228.48
Ninh Thuan,3358.3,575.42,171.34
Binh Thuan,7813.1,1197.26,153.24
Tay Nguyen,54641,5509.2,100.83
Kon Tum,9689.6,484.22,49.97
Gia Lai,15536.9,1403.13,90.31
Dak Lak,13125.4,1805.83,137.58
Dak Nong,6515.6,564.96,86.71
Lam Dong,9773.5,1251.07,128.01
Dong Nam Bo,23590.7,16093.51,682.2
Binh Phuoc,6871.5,934.37,135.98
Tay Ninh,4032.6,1120.73,277.92
Binh Duong,2694.4,1977.84,734.06
Dong Nai,5907.2,2831.29,479.29
Ba Ria - Vung Tau,1989.5,1093.37,549.57
Ho Chi Minh,2095.5,8135.91,3882.56
Dong bang song Cuu Long,40576,17269.81,425.62
Long An,4495,1611.7,358.55
Tien Giang,2509.3,1716.09,683.89
Ben Tre,2359.8,1272.51,539.24
Tra Vinh,2341.2,1006.24,429.8
Vinh Long,1520.2,1023.75,673.43
Dong Thap,3378.8,1632.37,483.12
An Giang,3536.7,2024.59,572.45
Kien Giang,6348.5,1703.4,268.32
Can Tho,1408.9,1205.72,855.79
Hau Giang,1602.4,744.95,464.9
Soc Trang,3311.6,1245.61,376.13
Bac Lieu,2468.7,882.16,357.34
Ca Mau,5294.9,1200.74,226.77
