code,name,area,population,density
1,Ha Noi,3324.3,7128.39,2144.33
26,Vinh Phuc,1238.6,1061.5,857.02
27,Bac Ninh,822.7,1139.89,1385.54
22,Quang Ninh,6102.4,1209.58,198.21
30,Hai Duong,1656,1779.67,1074.68
31,Hai Phong,1527.4,1932.17,1265.01
33,Hung Yen,926,1175.52,1269.46
34,Thai Binh,1570.5,1815.04,1155.71
35,Ha Nam,860.5,807.44,938.33
36,Nam Dinh,1652.8,1806.41,1092.94
37,Ninh Binh,1378.1,930.03,674.87
2,Ha Giang,7914.9,778.96,98.42
4,Cao Bang,6707.9,517.85,77.2
6,Bac Kan,4859.4,301.73,62.09
8,Tuyen Quang,5867.3,743.37,126.7
10,Lao Cai,6383.9,661,103.54
15,Yen Bai,6886.3,774.58,112.48
19,Thai Nguyen,3536.4,1155.99,326.88
20,Lang Son,8320.8,748.94,90.01
24,Bac Giang,3849.7,1630.65,423.58
25,Phu Tho,3533.3,1355.24,383.56
11,Dien Bien,9562.9,534.97,55.94
12,Lai Chau,9068.8,414.55,45.71
14,Son La,14174.4,1143.91,80.7
17,Hoa Binh,4608.7,812.75,176.35
38,Thanh Hoa,11130.5,3484.77,313.08
40,Nghe An,16492.7,3076.38,186.53
42,Ha Tinh,5997.3,1247.56,208.02
44,Quang Binh,8065.3,865.02,107.25
45,Quang Tri,4739.8,611,128.91
46,Thua Thien Hue,5033.2,1109.8,220.5
48,Da Nang,1285.4,1017.33,791.45
49,Quang Nam,10438.4,1451.37,139.04
51,Quang Ngai,5152,1223.05,237.39
52,Binh Dinh,6050.6,1487.55,245.85
54,Phu Yen,5060.5,865.28,170.99
56,Khanh Hoa,5217.7,1184.92,227.1
58,Ninh Thuan,3358.3,573.28,170.71
60,Binh Thuan,7812.8,1194.66,152.91
62,Kon Tum,9689.6,473.25,48.84
64,Gia Lai,15536.9,1382.97,89.01
66,Dak Lak,13125.4,1794.56,136.72
67,Dak Nong,6515.6,548.1,84.12
68,Lam Dong,9773.6,1239.86,126.86
70,Binh Phuoc,6871.5,923.49,134.39
72,Tay Ninh,4032.6,1111.4,275.6
74,Binh Duong,2694.4,1873.48,695.32
75,Dong Nai,5907.2,2771.42,469.16
77,Ba Ria - Vung Tau,1989.5,1076.85,541.27
79,Ho Chi Minh,2095.6,7974.02,3805.12
80,Long An,4491.9,1587.85,353.49
82,Tien Giang,2508.6,1705.77,679.97
83,Ben Tre,2359.5,1269.72,538.13
84,Tra Vinh,2341.2,1005.62,429.53
86,Vinh Long,1520.2,1023.84,673.49
87,Dong Thap,3378.8,1639.21,485.15
89,An Giang,3536.7,2051.62,580.09
91,Kien Giang,6348.5,1701.11,267.95
92,Can Tho,1409,1203.23,853.96
93,Hau Giang,1602.4,747.88,466.73
94,Soc Trang,3311.6,1254.98,378.96
95,Bac Lieu,2468.7,877.04,355.26
96,Ca Mau,5294.9,1202.07,227.02
