code,name,area,population,density
1,Ha Noi,3359.84,8435.65,2511
26,Vinh Phuc,1236,1197.62,969
27,Bac Ninh,822.71,1488.2,1809
22,Quang Ninh,6207.93,1362.88,220
30,Hai Duong,1668.28,1946.82,1167
31,Hai Phong,1526.52,2088.02,1368
33,Hung Yen,930.2,1290.85,1388
34,Thai Binh,1584.61,1878.54,1185
35,Ha Nam,861.93,878,1019
36,Nam Dinh,1668.83,1876.85,1125
37,Ninh Binh,1411.78,1010.7,716
2,Ha Giang,7927.55,892.72,113
4,Cao Bang,6700.39,543.05,81
6,Bac Kan,4859.96,324.35,67
8,Tuyen Quang,5867.95,805.78,137
10,Lao Cai,6364.25,770.59,121
15,Yen Bai,6892.67,847.25,123
19,Thai Nguyen,3521.97,1335.99,379
20,Lang Son,8310.18,802.09,97
24,Bac Giang,3895.89,1890.93,485
25,Phu Tho,3534.56,1516.92,429
11,Dien Bien,9539.93,635.92,67
12,Lai Chau,9068.73,482.1,53
14,Son La,14109.83,1300.13,92
17,Hoa Binh,4590.3,875.38,191
38,Thanh Hoa,11114.71,3722.06,335
40,Nghe An,16486.49,3419.99,207
42,Ha Tinh,5994.45,1323.75,221
44,Quang Binh,7998.76,913.86,114
45,Quang Tri,4701.23,650.95,138
46,Thua Thien Hue,4947.11,1160.22,235
48,Da Nang,1284.73,1220.19,950
49,Quang Nam,10574.86,1519.38,144
51,Quang Ngai,5155.25,1245.65,242
52,Binh Dinh,6066.4,1504.29,248
54,Phu Yen,5025.96,876.62,174
56,Khanh Hoa,5199.62,1253.97,241
58,Ninh Thuan,3355.7,598.68,178
60,Binh Thuan,7942.6,1252.06,158
62,Kon Tum,9677.3,579.91,60
64,Gia Lai,15510.13,1590.98,103
66,Dak Lak,13070.41,1918.44,147
67,Dak Nong,6509.27,670.56,103
68,Lam Dong,9781.2,1332.53,136
70,Binh Phuoc,6873.56,1034.67,151
72,Tay Ninh,4041.65,1188.76,294
74,Binh Duong,2694.64,2763.12,1025
75,Dong Nai,5863.62,3255.81,555
77,Ba Ria - Vung Tau,1982.56,1178.7,595
79,Ho Chi Minh,2095.39,9389.72,4481
80,Long An,4494.78,1734.26,386
82,Tien Giang,2556.36,1785.24,698
83,Ben Tre,2379.7,1298.01,545
84,Tra Vinh,2390.77,1019.26,426
86,Vinh Long,1525.73,1028.82,674
87,Dong Thap,3382.28,1600.17,473
89,An Giang,3536.82,1905.52,539
91,Kien Giang,6352.92,1751.76,276
92,Can Tho,1440.4,1252.35,869
93,Hau Giang,1622.23,729.47,450
94,Soc Trang,3298.2,1197.82,363
95,Bac Lieu,2667.88,921.81,346
96,Ca Mau,5274.51,1207.63,229
