code,name,area,population,density
1,Ha Noi,3358.6,7742.2,2305.19
26,Vinh Phuc,1235.2,1123.1,909.25
27,Bac Ninh,822.7,1297.8,1577.49
22,Quang Ninh,6177.8,1285.2,208.04
30,Hai Duong,1668.2,1850.6,1109.34
31,Hai Phong,1561.8,2001.4,1281.47
33,Hung Yen,930.2,1228.8,1321.01
34,Thai Binh,1586.3,1846.1,1163.78
35,Ha Nam,861.9,839.8,974.36
36,Nam Dinh,1668.5,1788.2,1071.74
37,Ninh Binh,1386.8,965.4,696.13
2,Ha Giang,7929.5,833.7,105.14
4,Cao Bang,6700.3,526.4,78.56
6,Bac Kan,4860,309.9,63.77
8,Tuyen Quang,5867.9,770.5,131.31
10,Lao Cai,6364,708.6,111.35
15,Yen Bai,6887.7,807.3,117.21
19,Thai Nguyen,3526.6,1256.1,356.18
20,Lang Son,8310.1,768.7,92.5
24,Bac Giang,3895.5,1736.8,445.85
25,Phu Tho,3534.6,1430.5,404.71
11,Dien Bien,9541.3,579.4,60.73
12,Lai Chau,9068.8,444.5,49.01
14,Son La,14123.5,1213.4,85.91
17,Hoa Binh,4590.6,845,184.07
38,Thanh Hoa,11114.7,3603.7,324.23
40,Nghe An,16481.6,3246.7,196.99
42,Ha Tinh,5990.7,1274.2,212.7
44,Quang Binh,8000,885.7,110.71
45,Quang Tri,4621.7,625.4,135.32
46,Thua Thien Hue,4902.5,1123.4,229.15
48,Da Nang,1284.9,1097.8,854.39
49,Quang Nam,10574.7,1483.3,140.27
51,Quang Ngai,5152.5,1228.9,238.51
52,Binh Dinh,6066.2,1487.7,245.24
54,Phu Yen,5023.4,870,173.19
56,Khanh Hoa,5137.8,1216.3,236.74
58,Ninh Thuan,3355.3,585.4,174.47
60,Binh Thuan,7943.9,1220.5,153.64
62,Kon Tum,9674.2,520.1,53.76
64,Gia Lai,15511,1468.9,94.7
66,Dak Lak,13030.5,1850.3,142
67,Dak Nong,6509.3,604.9,92.93
68,Lam Dong,9783.3,1281.3,130.97
70,Binh Phuoc,6876.8,972.6,141.43
72,Tay Ninh,4041.3,1151.1,284.83
74,Binh Duong,2694.6,2227.2,826.54
75,Dong Nai,5863.6,3004.9,512.47
77,Ba Ria - Vung Tau,1981,1127.2,569.01
79,Ho Chi Minh,2061.2,8649.6,4196.39
80,Long An,4494.9,1662.3,369.82
82,Tien Giang,2510.6,1751.8,697.76
83,Ben Tre,2394.7,1282.4,535.52
84,Tra Vinh,2358.3,1008.1,427.47
86,Vinh Long,1525.7,1022.6,670.25
87,Dong Thap,3383.8,1612.5,476.54
89,An Giang,3536.7,1954.2,552.55
91,Kien Giang,6348.8,1712.9,269.8
92,Can Tho,1439,1222.4,849.48
93,Hau Giang,1621.7,737.3,454.65
94,Soc Trang,3311.9,1218.3,367.86
95,Bac Lieu,2669,897.7,336.34
96,Ca Mau,5221.2,1197,229.26
