code,name,area,population,density
1,Ha Noi,3358.9,7590.8,2259.91
26,Vinh Phuc,1235.3,1106.1,895.41
27,Bac Ninh,822.8,1257.9,1528.8
22,Quang Ninh,6177.7,1261.2,204.15
30,Hai Duong,1668.3,1832.8,1098.6
31,Hai Phong,1561.7,1985.3,1271.24
33,Hung Yen,930.3,1215.5,1306.57
34,Thai Binh,1586.5,1838.1,1158.59
35,Ha Nam,862,832.2,965.43
36,Nam Dinh,1668.5,1792.5,1074.32
37,Ninh Binh,1386.8,956.8,689.93
2,Ha Giang,7929.2,820.4,103.47
4,Cao Bang,6700.2,524.2,78.24
6,Bac Kan,4860,307.7,63.31
8,Tuyen Quang,5867.9,763.4,130.1
10,Lao Cai,6364,696.5,109.44
15,Yen Bai,6887.6,800.3,116.19
19,Thai Nguyen,3526.7,1242.8,352.4
20,Lang Son,8310.2,763.4,91.86
24,Bac Giang,3895.5,1696.9,435.61
25,Phu Tho,3534.4,1409,398.65
11,Dien Bien,9540.9,568.3,59.56
12,Lai Chau,9069.5,436.3,48.11
14,Son La,14123.5,1194.9,84.6
17,Hoa Binh,4590.7,837,182.33
38,Thanh Hoa,11114.5,3570.8,321.27
40,Nghe An,16481.7,3203.1,194.34
42,Ha Tinh,5990.6,1266.7,211.45
44,Quang Binh,8000.1,880.6,110.07
45,Quang Tri,4621.8,621.6,134.49
46,Thua Thien Hue,4902.4,1118,228.05
48,Da Nang,1284.7,1080.3,840.9
49,Quang Nam,10575,1475.7,139.55
51,Quang Ngai,5152.3,1227.5,238.24
52,Binh Dinh,6066.1,1487.7,245.25
54,Phu Yen,5023.5,868.2,172.83
56,Khanh Hoa,5137.7,1207.2,234.97
58,Ninh Thuan,3355.2,581.5,173.31
60,Binh Thuan,7944,1213.6,152.77
62,Kon Tum,9674.2,507.8,52.49
64,Gia Lai,15510.8,1447.2,93.3
66,Dak Lak,13030.5,1836.4,140.93
67,Dak Nong,6509.3,594.4,91.32
68,Lam Dong,9783.2,1271.3,129.95
70,Binh Phuoc,6876.6,962.7,140
72,Tay Ninh,4041.4,1139.6,281.98
74,Binh Duong,2694.7,2138.8,793.71
75,Dong Nai,5863.6,2951.4,503.34
77,Ba Ria - Vung Tau,1980.8,1117.6,564.22
79,Ho Chi Minh,2061.4,8479.1,4113.27
80,Long An,4494.8,1645.2,366.02
82,Tien Giang,2510.5,1740.1,693.13
83,Ben Tre,2394.6,1278.6,533.95
84,Tra Vinh,2358.2,1007.6,427.28
86,Vinh Long,1525.6,1022.8,670.42
87,Dong Thap,3384,1619,478.43
89,An Giang,3536.7,1976.4,558.83
91,Kien Giang,6348.7,1708.7,269.14
92,Can Tho,1439.2,1214.6,843.94
93,Hau Giang,1621.8,740.1,456.34
94,Soc Trang,3311.9,1227.6,370.66
95,Bac Lieu,2669.1,892.8,334.49
96,Ca Mau,5221.2,1198.1,229.47
