code,Name,grdp
1,Ha Noi,120.32
26,Vinh Phuc,102.47
27,Bac Ninh,144.99
22,Quang Ninh,143.31
30,Hai Duong,66.78
31,Hai Phong,122.17
33,Hung Yen,73.71
34,Thai Binh,45.22
35,Ha Nam,64.03
36,Nam Dinh,39.04
37,Ninh Binh,62.77
2,Ha Giang,28.19
4,Cao Bang,32.89
6,Bac Kan,38.21
8,Tuyen Quang,39.58
10,Lao Cai,68.11
15,Yen Bai,37.09
19,Thai Nguyen,90.89
20,Lang Son,41.9
24,Bac Giang,57.72
25,Phu Tho,47.07
11,Dien Bien,32.14
12,Lai Chau,38.86
14,Son La,39.68
17,Hoa Binh,54.61
38,Thanh Hoa,48.33
40,Nghe An,39.85
42,Ha Tinh,60.54
44,Quang Binh,43.75
45,Quang Tri,50.34
46,Thua Thien Hue,46.81
48,Da Nang,97.44
49,Quang Nam,66.05
51,Quang Ngai,70.53
52,Binh Dinh,55.67
54,Phu Yen,48.63
56,Khanh Hoa,70.36
58,Ninh Thuan,52.7
60,Binh Thuan,64.24
62,Kon Tum,40.33
64,Gia Lai,40.25
66,Dak Lak,41.67
67,Dak Nong,45.47
68,Lam Dong,60.5
70,Binh Phuoc,62.61
72,Tay Ninh,70.59
74,Binh Duong,147.38
75,Dong Nai,110.68
77,Ba Ria - Vung Tau,300.38
79,Ho Chi Minh,148.66
80,Long An,72.8
82,Tien Giang,54.57
83,Ben Tre,40.31
84,Tra Vinh,58.85
86,Vinh Long,52.94
87,Dong Thap,51.47
89,An Giang,44.49
91,Kien Giang,55.17
92,Can Tho,72.66
93,Hau Giang,48.64
94,Soc Trang,44.5
95,Bac Lieu,45.95
96,Ca Mau,50.67
