code,Name,grdp
1,Ha Noi,111.6
26,Vinh Phuc,94.54
27,Bac Ninh,144.95
22,Quang Ninh,126.81
30,Hai Duong,61.21
31,Hai Phong,104.42
33,Hung Yen,66.9
34,Thai Binh,39.98
35,Ha Nam,56.31
36,Nam Dinh,34.92
37,Ninh Binh,54.31
2,Ha Giang,26.07
4,Cao Bang,30.63
6,Bac Kan,35.38
8,Tuyen Quang,36.19
10,Lao Cai,62.17
15,Yen Bai,33.87
19,Thai Nguyen,84.75
20,Lang Son,38.25
24,Bac Giang,50.85
25,Phu Tho,42.53
11,Dien Bien,30.65
12,Lai Chau,40.5
14,Son La,40.37
17,Hoa Binh,54.42
38,Thanh Hoa,40.26
40,Nghe An,36.52
42,Ha Tinh,54.73
44,Quang Binh,39.72
45,Quang Tri,45.49
46,Thua Thien Hue,42.54
48,Da Nang,91
49,Quang Nam,61.55
51,Quang Ngai,67.73
52,Binh Dinh,50.25
54,Phu Yen,44.3
56,Khanh Hoa,63.89
58,Ninh Thuan,43.66
60,Binh Thuan,53.39
62,Kon Tum,37.81
64,Gia Lai,39.35
66,Dak Lak,39.14
67,Dak Nong,44.01
68,Lam Dong,56.05
70,Binh Phuoc,56.08
72,Tay Ninh,62.36
74,Binh Duong,137.67
75,Dong Nai,103.08
77,Ba Ria - Vung Tau,309.62
79,Ho Chi Minh,138.76
80,Long An,65.72
82,Tien Giang,50.54
83,Ben Tre,36.75
84,Tra Vinh,53.55
86,Vinh Long,48.08
87,Dong Thap,47.35
89,An Giang,40.43
91,Kien Giang,52.04
92,Can Tho,67.78
93,Hau Giang,44.27
94,Soc Trang,41.47
95,Bac Lieu,43.95
96,Ca Mau,48.21
