code,Name,grdp
1,Ha Noi,141.61
26,Vinh Phuc,127.1
27,Bac Ninh,169.07
22,Quang Ninh,197.73
30,Hai Duong,87.49
31,Hai Phong,173.52
33,Hung Yen,102.25
34,Thai Binh,57.74
35,Ha Nam,86.93
36,Nam Dinh,48.14
37,Ninh Binh,79.59
2,Ha Giang,33.74
4,Cao Bang,38.71
6,Bac Kan,46.82
8,Tuyen Quang,50.57
10,Lao Cai,85.98
15,Yen Bai,47.88
19,Thai Nguyen,110.01
20,Lang Son,52.1
24,Bac Giang,84.05
25,Phu Tho,59.63
11,Dien Bien,39.58
12,Lai Chau,50.15
14,Son La,49.56
17,Hoa Binh,66.84
38,Thanh Hoa,68.08
40,Nghe An,51.62
42,Ha Tinh,71.23
44,Quang Binh,54.89
45,Quang Tri,65.05
46,Thua Thien Hue,56.95
48,Da Nang,101.97
49,Quang Nam,78.73
51,Quang Ngai,99.07
52,Binh Dinh,70.86
54,Phu Yen,57.13
56,Khanh Hoa,77.17
58,Ninh Thuan,77.3
60,Binh Thuan,79.59
62,Kon Tum,53.98
64,Gia Lai,53.28
66,Dak Lak,57.32
67,Dak Nong,59.45
68,Lam Dong,77.84
70,Binh Phuoc,87.33
72,Tay Ninh,86.6
74,Binh Duong,165.27
75,Dong Nai,129.2
77,Ba Ria - Vung Tau,357.23
79,Ho Chi Minh,159.43
80,Long An,90.31
82,Tien Giang,62.57
83,Ben Tre,48.99
84,Tra Vinh,71.85
86,Vinh Long,68.93
87,Dong Thap,61.74
89,An Giang,52.43
91,Kien Giang,66.29
92,Can Tho,86.99
93,Hau Giang,66.3
94,Soc Trang,55.1
95,Bac Lieu,60.12
96,Ca Mau,61.09
