code,Name,grdp
1,Ha Noi,123.4
26,Vinh Phuc,105.88
27,Bac Ninh,147.26
22,Quang Ninh,155.6
30,Hai Duong,68.4
31,Hai Phong,133.9
33,Hung Yen,79.04
34,Thai Binh,47.9
35,Ha Nam,69.53
36,Nam Dinh,42.69
37,Ninh Binh,67.53
2,Ha Giang,29.8
4,Cao Bang,35.81
6,Bac Kan,41.06
8,Tuyen Quang,43.52
10,Lao Cai,71.98
15,Yen Bai,39.87
19,Thai Nguyen,94.33
20,Lang Son,44.23
24,Bac Giang,65.64
25,Phu Tho,50.74
11,Dien Bien,33.09
12,Lai Chau,43.33
14,Son La,43.32
17,Hoa Binh,57.72
38,Thanh Hoa,51.26
40,Nghe An,43.06
42,Ha Tinh,63.55
44,Quang Binh,46.32
45,Quang Tri,52.84
46,Thua Thien Hue,48.56
48,Da Nang,88.85
49,Quang Nam,65.41
51,Quang Ngai,69.48
52,Binh Dinh,60.08
54,Phu Yen,50.49
56,Khanh Hoa,64.27
58,Ninh Thuan,59.11
60,Binh Thuan,69.23
62,Kon Tum,43.01
64,Gia Lai,42.59
66,Dak Lak,46.09
67,Dak Nong,48.14
68,Lam Dong,62.89
70,Binh Phuoc,67.73
72,Tay Ninh,74.02
74,Binh Duong,150.48
75,Dong Nai,115.07
77,Ba Ria - Vung Tau,251.16
79,Ho Chi Minh,148.63
80,Long An,76.36
82,Tien Giang,55.77
83,Ben Tre,41.86
84,Tra Vinh,61.01
86,Vinh Long,57.34
87,Dong Thap,53.39
89,An Giang,46.64
91,Kien Giang,55.65
92,Can Tho,72.41
93,Hau Giang,51.48
94,Soc Trang,45.84
95,Bac Lieu,48.02
96,Ca Mau,51.21
